stock_id,date,eps
1256,2022-06-30,2.06
1256,2022-09-30,6.57
1256,2022-12-31,1.98
1256,2023-03-31,1.34
1256,2023-06-30,6.1
1256,2023-09-30,5.32
1256,2023-12-31,-0.35
1256,2024-03-31,1.34
1256,2024-06-30,2.72
1256,2024-09-30,4.15
1256,2024-12-31,0.35
1256,2025-03-31,0.72
1256,2025-06-30,3.61
1256,2025-09-30,4.99
1301,2017-03-31,1.55
1301,2017-06-30,1.53
1301,2017-09-30,2.66
1301,2017-12-31,2.02
1301,2018-03-31,1.87
1301,2018-06-30,2.69
1301,2018-09-30,2.86
1301,2018-12-31,0.36
1301,2019-03-31,1.28
1301,2019-06-30,1.63
1301,2019-09-30,2.46
1301,2019-12-31,0.49
1301,2020-03-31,-0.06
1301,2020-06-30,-0.1
1301,2020-09-30,1.63
1301,2020-12-31,1.68
1301,2021-03-31,2.35
1301,2021-06-30,3.18
1301,2021-09-30,3.03
1301,2021-12-31,2.65
1301,2022-03-31,2.6
1301,2022-06-30,3.33
1301,2022-09-30,0.91
1301,2022-12-31,-1.16
1301,2023-03-31,0.37
1301,2023-06-30,0.19
1301,2023-09-30,1.05
1301,2023-12-31,-0.46
1301,2024-03-31,0.03
1301,2024-06-30,0.22
1301,2024-09-30,-0.49
1301,2024-12-31,0.05
1301,2025-03-31,0.01
1301,2025-06-30,-1.04
1301,2025-09-30,-0.1
1303,2017-03-31,1.37
1303,2017-06-30,1.14
1303,2017-09-30,2.1
1303,2017-12-31,2.26
1303,2018-03-31,1.7
1303,2018-06-30,2.1
1303,2018-09-30,2.3
1303,2018-12-31,0.55
1303,2019-03-31,0.64
1303,2019-06-30,0.74
